Entity,Code,Year,consumption,GDPperCapita,Population,Continent,deaths
Netherlands,NLD,2018,9.61,56060.914,17286042,,23.241325
New Caledonia,NCL,2018,,,284887,,
New Zealand,NZL,2018,10.63,42862.07,4838528,,19.421669
Nicaragua,NIC,2018,5.18,5636.6396,6572234,,35.526688
Niger,NER,2018,0.67,1193.2656,22577060,,11.267202
Nigeria,NGA,2018,10.84,5089.778,198387616,,50.61133
Niue,NIU,2018,,,1907,,18.783691
North Korea,PRK,2018,3.8,,25638152,,30.552673
North Macedonia,MKD,2018,6.16,16148.459,2113497,,31.52778
Northern Mariana Islands,MNP,2018,,,50328,,16.288378
Norway,NOR,2018,7.41,64341.258,5312321,,14.579674
Oman,OMN,2018,0.78,34212.105,4601160,,2.3307562
Pakistan,PAK,2018,0.34,5113.434,219731488,,13.737202
Palau,PLW,2018,,17587.088,17887,,14.784257
Palestine,PSE,2018,,,4805549,,8.680317
Panama,PAN,2018,7.98,31125.625,4165258,,20.830671
Papua New Guinea,PNG,2018,1.39,3864.9446,9329233,,7.4602733
Paraguay,PRY,2018,7.58,13848.499,6443337,,35.465874
Peru,PER,2018,6.38,12696.236,32203946,,20.346256
Philippines,PHL,2018,6.86,8365.732,108568832,,46.115402
Poland,POL,2018,11.71,31739.258,38521464,,44.528496
Portugal,PRT,2018,12.03,34040.727,10289833,,32.638115
Puerto Rico,PRI,2018,,34223.1,3319269,,24.557907
Qatar,QAT,2018,1.59,91461.62,2766743,,6.8510275
Reunion,REU,2018,,,941189,,
Romania,ROU,2018,11.74,28741.227,19606778,,59.640335
Russia,RUS,2018,11.19,26656.41,145652288,,76.70694
Rwanda,RWA,2018,8.95,2050.441,12531810,,79.107056
Saint Barthelemy,BLM,2018,,,10281,,
Saint Helena,SHN,2018,,,5494,,
Saint Kitts and Nevis,KNA,2018,8.94,29950.494,47787,,33.302444
Saint Lucia,LCA,2018,10.6,15622.778,177894,,40.47492
Saint Martin (French part),MAF,2018,,,33879,,
Saint Pierre and Miquelon,SPM,2018,,,5969,,
Saint Vincent and the Grenadines,VCT,2018,9.06,14084.938,105297,,41.851948
Samoa,WSM,2018,2.66,6139.523,209715,,15.035735
San Marino,SMR,2018,,58898.06,34179,,25.31546
Sao Tome and Principe,STP,2018,5.88,3987.3835,211358,,57.22719
Saudi Arabia,SAU,2018,0.19,45840.84,35018132,,3.3888354
Senegal,SEN,2018,0.76,3368.8586,15574910,,12.119722
Serbia,SRB,2018,8.75,17455.945,7433825,,35.280754
Seychelles,SYC,2018,20.5,28740.55,103120,,49.48604
Sierra Leone,SLE,2018,5.7,1610.1619,7861287,,47.68999
Singapore,SGP,2018,2.03,98336.95,5814543,,3.7845283
Sint Maarten (Dutch part),SXM,2018,,35133.832,42268,,
Slovakia,SVK,2018,11.14,31229.863,5446746,,41.374832
Slovenia,SVN,2018,11.9,37995.715,2105931,,28.72813
Solomon Islands,SLB,2018,1.83,2633.2886,659259,,10.3653555
Somalia,SOM,2018,0.009,1098.4928,15411101,,12.928586
South Africa,ZAF,2018,9.52,13990.314,57339632,,56.182587
South Korea,KOR,2018,9.7,41965.89,51676900,,31.536388
South Sudan,SSD,2018,,,10395332,,13.985005
Spain,ESP,2018,12.72,40255.254,46792044,,21.19757
Sri Lanka,LKA,2018,4.1,13753.055,21580712,,29.53244
Sudan,SDN,2018,0.51,4349.21,41999064,,2.581905
Suriname,SUR,2018,5.33,18438.346,593729,,35.109917
Sweden,SWE,2018,8.93,52349.293,10162300,,22.062515
Switzerland,CHE,2018,11.53,70558.56,8514431,,23.231634
Syria,SYR,2018,0.24,,19333464,,4.679284
Taiwan,TWN,2018,,,23726186,,29.749514
Tajikistan,TJK,2018,3.28,3405.0908,9128131,,26.624498
Tanzania,TZA,2018,11.27,2510.9663,58090444,,75.141754
Thailand,THA,2018,8.3,17669.045,71127808,,40.840977
Togo,TGO,2018,2.46,2020.9656,8046680,,35.684467
Tokelau,TKL,2018,,,1645,,12.841418
Tonga,TON,2018,0.8,6287.882,105167,,10.214367
Trinidad and Tobago,TTO,2018,6.72,25534.84,1504707,,22.657911
Tunisia,TUN,2018,2.12,11042.961,11933040,,5.6752677
Turkey,TUR,2018,2.05,28157.979,82809304,,4.349646
Turkmenistan,TKM,2018,4.93,14321.14,6065072,,49.084614
Turks and Caicos Islands,TCA,2018,,25567.918,41516,,
Tuvalu,TUV,2018,1.52,4268.1797,10883,,12.531968
Uganda,UGA,2018,15.09,2186.9072,41515400,,97.637825
Ukraine,UKR,2018,8.32,12336.927,44446952,,77.649994
United Arab Emirates,ARE,2018,3.9,71550.555,9140172,,8.127996
United Kingdom,GBR,2018,11.45,46878.137,66432996,,23.330091
United States,USA,2018,9.87,61355.65,332140032,,28.274723
United States Virgin Islands,VIR,2018,,,101377,,35.481674
Uruguay,URY,2018,6.92,23184.625,3427044,,33.59745
Uzbekistan,UZB,2018,2.59,7082.9253,32449578,,31.483671
Vanuatu,VUT,2018,2.25,3045.0427,297307,,21.235758
Venezuela,VEN,2018,4.14,,29825652,,28.39238
Vietnam,VNM,2018,8.66,9636.013,94914328,,55.906578
Wallis and Futuna,WLF,2018,,,11840,,
Western Sahara,ESH,2018,,,532011,,
World,OWID_WRL,2018,6.170357,16558.998,7683789824,,29.923563
Yemen,YEM,2018,0.051,,30790514,,5.170517
Zambia,ZMB,2018,6.54,3425.949,17835898,,85.27507
Zimbabwe,ZWE,2018,4.67,2399.6216,15052191,,56.85128
